ID,種別,名前,場所,version_or_sha256,確認状態,担当エージェント,証拠
FILE-000001,ROOT_TRACKED,SKILL.md,.agents/skills/ai-release-gate/SKILL.md,sha256:3c69f42b1f0d4131ce732dd8b1b8b2f83abffc2bd839ab99965d5058a2a2d384,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000002,ROOT_TRACKED,SKILL.md,.agents/skills/frontend-visual-review/SKILL.md,sha256:8d008c42fab91ff83ea575fe4756a8ab46246c8c3e6310bf6a1888d6e9a9f468,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000003,ROOT_TRACKED,SKILL.md,.agents/skills/image-to-ui-implementation/SKILL.md,sha256:a8a6a5ff49fba3ebd58c5f9a5f017797b6fc298510676d7c16af7273b00639aa,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000004,ROOT_TRACKED,SKILL.md,.agents/skills/iphone-device-install/SKILL.md,sha256:12899155b2058a64d82e91070578f1a152d66f389a78cac20aadd8d7ac0329bd,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000005,ROOT_TRACKED,SKILL.md,.agents/skills/rinbam-single-route/SKILL.md,sha256:c7650d21db8755b9e7066a7a51039f949e47c107dbcbb4cf743ad670ff434406,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000006,ROOT_TRACKED,SKILL.md,.agents/skills/ui-design-brief/SKILL.md,sha256:23f05d8e2ab66e3784ce8ef16339f82dfb65d7a065e28b388da975129fd45b21,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000007,ROOT_TRACKED,account-deletion-page.yml,.github/workflows/account-deletion-page.yml,sha256:7d756135c2031dea6d60507e16c3acbd513091107e7314acfed3d137cdbb1b71,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000008,ROOT_TRACKED,ci.yml,.github/workflows/ci.yml,sha256:cbacd1b52db260b005c221d1732db41a9076605b1cc8b9cb0232a79002caf2b6,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000009,ROOT_TRACKED,contact-support-health.yml,.github/workflows/contact-support-health.yml,sha256:b6075e4cff4d5c1b3d8263aa2821cf8814657897ebd9caf6ca494e60029baf60,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000010,ROOT_TRACKED,production-feature-contracts.yml,.github/workflows/production-feature-contracts.yml,sha256:ff9c7faee70c37f15a3d809ffac729fd84f7bb7a03af0f1d3cb7a8a4fa7fd064,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
FILE-000011,ROOT_TRACKED,.gitignore,.gitignore,sha256:d3596c6deac9232b41045b5e9c7467600dd153f579e9f0458032f8ed91d04269,UNVERIFIED,C0,inventoried from Git metadata; content not reviewed in current S2 pass
